212622550	212622552,212766163,212766165
212622552	212622550,212871144,212807753
212622561	212898616,212688758,212622567
212622567	212622570,212721837,212622561
212622570	212622574,212622567,212880256
212622574	212622579,212622570,212796957
212622579	212622574,212685136,212721848
212622666	212622670
212622670	212622666,212727250,212622714
212622714	212622670
212623547	212804237,212623549,212645414
212623549	212623551,212720922,212623547
212623551	212623553,212623549,212720926,212645417
212623553	212623557,212623551,212673160,212645421
212623557	212623553,212680129,212623560,212680126
212623560	212623563,212719205,212719202,212623557
212623563	212676347,212623569,212623560,5842884707
212623569	212721910,212623572,212623563,212769027
212623572	212678193,212623569,212769024
212623593	212623597,212756608,212785314
212623597	212623593,212698597,212751444
212623658	5646805086,5325104483,212859898
212623668	5646744734,212623672
212623672	212623668,212623676,212940245
212623676	212823511,212701247,212623672,212623679
212623679	212623682,212769278,212623676
212623682	212623679,212623685,212769253
212623685	212623682,212623688,212887533
212623688	212623685,212623691
212623691	212623695,212899585,212769231,212623688
212623695	212623691,212629124,212629121,212623698
212623698	212709851,3236892829,212623695
212623887	212643310,212650410
212623889	212623887,212827025,212754850
212623891	212623889,212713439,212713431
212624271	212624273,212870695,212870665
212624273	212713558,212624271,212713556
212624278	212624281,212785720,212785718
212624281	212912137,212624285,212624278
212624285	212665158,212624281,212665154
212624420	212684244,212624424,212808729
212624424	212650631,212765274,212624420
212624729	212624731
212624731	212624729,212850913,212812471
212624736	212624737,212765257,212765259
212624737	212624740,212624736,212624950,212624947
212624740	212624737,212673089,212787668
212624902	1153615475,1153615371
212624908	212624902,212970629,212909806
212624909	212754598,212754594,212624908
212624911	212624909,212839866,212839872
212624913	212624911,212624922,212668476
212624922	212668478,212676704,212624937,212624913
212624937	212624940,212677790,212624922,212650632
212624940	212624944,212624937,212787662,212650634
212624944	212624947,212624940,212650636,212787665
212624947	212624944,212787668,212624737,212765260
212624950	212624737,212673147,212673089
212625254	4304816006
212625412	212832768,212625414,5757803308
212625414	212631451,212625412,212631455
212625533	212863156,212863159
212625650	212625652,212675308,5757803309
212625652	212625650,212631457,212631455
212625688	212724662,6254159903,212676875
212625691	212625692,6254159903,6254159904
212625692	212625691,212625696,212738019,212738015
212625696	212625698,212625692,212968270
212625698	212625696,212844030,212902662
212625706	924798483
212625902	5773699633,5776017347
212625920	212625924,5776017347,212950978
212625924	212625930,212625920,212766094,212766092
212625930	212625934,212625924,212684256
212625934	212625930,212899320,212642998
212625950	212785923,5773699633,5773703888
212625990	212625993,212792621,212792617
212625993	212625997,212625990,212710810,212710808
212625997	212625993,212732386,5706174537
212626021	212626024,212814850,212712523
212626024	212626021,212626028,212728266
212626028	212626024,212814850,212814869
212626130	212626133,212670532,212643431
212626133	212626130
212626374	212715909,212715905
212626681	212626683,212839961,212839964
212626683	212626685,212842940,212899183,212626681
212626685	212626683,212842956,212899185,212626687
212626687	212842960,212846796,212626685
212626897	212626899,5700941729
212626899	212626897
212627890	212627896,212669033,212894208
212627896	212627899,212795420,212627890
212627899	212627896,212627904
212627904	212627907,212669043,212627899,212729193
212627907	212627904,212627909
212627909	212669050,212627933,212714294,212627907
212627933	212627936,212627909,3665094176
212627936	212627933,212627949,5652164885
212627949	212913950,212627953,212627936
212627953	212627949,212863156,212863153,3150030763
212627954	212754669,3150030765,212627957
212627957	924745258,212627954,212627960
212627960	212627957,212839905,212627965
212627965	212688668,212627960,212627970
212627970	212627971,212627965,212859875,212780645
212627971	212759215,212627970,212627974
212627974	212780647,212627971,212627979
212627979	212618066,212627974,7775034925
212627984	7775034925,7775034922,212627987
212627987	212627989,212884721,212633578,212627984
212627989	212627992,212917765,212705182,212627987
212627992	212627989,212703095,212703098
212628000	212628001,212703152,212898240
212628001	212628000,212631830,212631828
212628116	212839978,212628119,212759637
212628119	212859894,212628122,212628116,212832021
212628122	212628125,212628119
212628125	212628122,212681206,212681204
212628149	212628155,212685719,212685717
212628155	212628149,212722447,212694334
212628461	212628464,212869638,5757808723
212628464	212628461
212628477	212715661,212711644
212629117	212629121,212709849,212870733
212629121	212623695,212629117,212769231
212629124	212899585,212623695,212709852
212629283	212629298,212629286,212651620
212629286	212732376,212629283,212671951
212629295	212834889,212651617,212629298
212629298	212732373,212629283,212629295
212629553	212629557
212629557	212629561,212629553,212904184,212953790
212629561	212629557,212782009,212782005,212629563
212629563	212629561
212629571	212629572,212777707,212745151
212629572	212629575,212629571,212745154
212629575	3640000651,212629572
212629926	212866252
212629938	212629941,212808650
212629941	212629938
212629988	212629991,212631434,212631438
212629991	212629988,212685713,212685716
212630295	212709814,5741818513,212659261
212630422	212630424,212711073,212663709
212630424	212630426,212630422,212890741
212630426	212630424,212863159
212630438	212663734,212630441,212678169
212630441	5743055684
212630444	212761976,5799502951
212630450	5743055675,212761982,212630444
212630609	212630613,212737025
212630613	212848943,212848940,212630609
212631301	11497830562,212685595,822473224
212631305	212850913,11497830554,212631315
212631315	212631305,212631326
212631326	212800565,212631315,212631329
212631329	212631331,212685619,212631326
212631331	212750305,212631329,212631333
212631333	212685628,212631331,212631335
212631335	212631338,212685631,212631333
212631338	212631335,212750305,212631341
212631341	212753020,212631338,212631346
212631346	212935606,212760579,212631341,212631349
212631349	5799924878,212779507,212631346
212631352	5799924878,212631355,212685653
212631355	212779509,212631352,212631357
212631357	212685657,212631355,212631359
212631359	212779516,212631357,212631362
212631362	212631359,212631366
212631366	212631362,212631369
212631369	212907280,212631366,212631372
212631372	212685666,212631369,212631375
212631375	212631372,212643346,212643343,212631378
212631378	212749506,212631382,212631375
212631382	212685673,212749509,212631386,212631378
212631386	212749513,212631382,212631389
212631389	212749515,212631391,212685678,212631386
212631391	212721917,212685682,212631389,212631394
212631394	212949329,212631391,212631397
212631397	212685686,212631394,212631399
212631399	212685688,212631397,212631403
212631403	212631399,212745051,212631405
212631405	212890871,212685698,212631409,212631403
212631409	212631413,212631405
212631413	212800429,212631417,212631409
212631417	212631413,212631419,212685708
212631419	212821988,212631417,212631422
212631422	212631419,212631424,212685710
212631424	212890877,212631422,212631429
212631429	212631424,212631434,212685713
212631434	212890879,212631429,212629988
212631438	5757803307,212629988,212631442
212631442	212631438,212631445,212685717
212631445	212788397,212631442,212631447
212631447	212631445,212631448,212685719
212631448	212631447,212832768,212631451
212631451	212625414,212685724,212631448
212631455	5757803309,212874482,212625652,212625414
212631457	212675308,212625652,212631459
212631459	212805588,212631457,212631462
212631462	212920746,212631459,5757787492
212631465	5757787492,212667898,212598968
212631472	212657249,212599048
212631625	212631632,212711103,212787052,212859868
212631632	212880657,212631636,212631625
212631636	1409344821,212631632,212898197,212825565
212631641	212631643,1409344821,212681115,212601502
212631643	212615664,212631641
212631644	212770200,212631646,212615664
212631646	212631648,212833603,212631644
212631648	212758722,212631649,212631646
212631649	212631653,212631648,212656004
212631653	212796358,212631656,212631649
212631656	212631653,212656004,212656007,212631666
212631666	212699605,212631673,212631656
212631673	212974605,212631666,212631676
212631676	212631678,212631673
212631678	212832368,212631676,212631683
212631683	212707907,212796370,212631678
212631802	212631806,212679120,212852325
212631806	212631810,212631802,212799768
212631810	212631806,212631813,212784946
212631813	212631810,212631820,212852325
212631820	212631813,9735631032,212631828,212712533
212631828	212703152,212628001,212712536,212631820
212631830	212657718,212631835,212628001
212631835	212631830,212743434,212631838
212631838	212726977,212732367,212631848,212631835
212631848	212884350,212743429,212631858,212631838
212631858	212631848,212631863,212753158
212631863	212884347,212631858,212631869,212699148
212631869	212599695,212907364,212631863
212631871	212631873,212715924,212599695
212631873	212631876,212631871
212631876	212631879,212631873,212715927
212631879	212631882,212631876
212631882	212631885,212631879,212715934
212631885	212631887,212631882
212631887	212631890,212631885,212715943
212631890	212631893,212631887
212631893	212631895,212631890,212687863
212631895	212631893,212631898
212631898	212631900,212631895
212631900	212715957,212715950,212631898
212631913	212728141,212727332
212631916	212631913,212668904,212668902
212632056	212632059,212796627,212882772
212632059	212632066,212632056,212882776,212796630
212632066	212632059,212729286,212729281
212632079	212632082,212693957,212888550
212632082	212632086,212632079,212715961
212632086	212632082,212632102,212715966
212632102	212697035,212697032,212632105,212632086
212632105	212643476,212643478,212632102
212632971	212632974,212683426,212713466
212632974	212692865,212636852
212633047	212633051,212763276,212888539
212633051	212633047,212756698,212633053
212633053	212633055,212633051,212696988,212696984
212633055	212633053,212643431,212643433
212633065	212633068,212651608,212768221
212633068	212633065,212651620,212765245
212633134	212850067,212822668,212633137
212633137	10879455354,212759880,212759878,212633134
212633140	212760024,212822683,10879455354
212633568	212780647,7768165297,4123836606,212810486
212633578	212705179,212627987,5745991829,7775034922
212633586	212679758,212850787,212705209,212850771
212633592	5761184744,212712176,11331117523
212633598	212633600,212692842,212775800
212633600	212633598,212692845,212717072
212636358	212882772,2942744969
212636445	212636450
212636450	212636445,212866252
212636852	212632974,212728162,212636856
212636856	212668930,212668927,212636852
212636952	212636956,212864373,212792453
212636956	212699140,212636952,212837793
212636968	212636971,5706098373,212896469,212754208
212636971	212636968
212637232	212637236,212643304,212643285
212637236	212637239,212637232,212651724
212637239	212637242,212637236,212712207
212637242	212637244,212637239,212754624
212637244	212637247,212637242
212637247	212637250,212637244
212637250	212637257,212637247,212754620,212712217
212637257	212637263,212637250,212651733
212637263	212637269,212637257,212712221
212637269	212637263,212651738,212808448
212638165	212609178,212605574,212692027
212638180	212650716,212638202
212638202	212692010,212728671,1280856199,212638180
212638205	1564787520
212638208	1564787520,212692015,1564787526,212807986
212638212	212692019,212609175,1564787526
212639526	212832021,212639530,212840021
212639530	212639534,212639526,212840021,212839989
212639534	212639539,212639530,212846625
212639539	212639534
212639650	212859875,4580588922
212639718	212685973,212713458
212639725	212639718,212676455,212728153
212639785	212762426
212640629	212901137,3588438484,212797174
212640634	212737985,3588438484
212641126	212643868,212643864,212641129
212641129	212667636,212667633,212641126
212641138	212837789,212641141,212715900
212641141	212825353,212874453,212641138
212641439	5771084621,212809847,3092206379
212641442	212851596,5771084621,212726854
212641517	212641521,212643424,212643427
212641521	212641523,212641517,212695100,212843660
212641523	212641521,212691749,212691747
212641534	212837776,212641536,212665024
212641536	212641539,212641534,212837779
212641539	212641544,212841751,212641536
212641544	212641549,212641539,212837781
212641549	212641544,212641553,212753555,212753540
212641553	212641549,212715902,212715900
212641785	212641786,212746523,212888526
212641786	212641787,212641785,212807040
212641787	212641786,212691911,212691906
212642328	212643444,212643448
212642331	212642328,212731612,212731609
212642938	212685752
212642952	11907900145,11907900153,212747960
212642954	212642957,11907900149,212832273
212642957	212642954,212836648,212832273,1130095881
212642960	212642966,1130096003,212836657
212642966	212600519,212878478
212642998	212643002,212899320,212625934
212643002	212643004,212642998,212863582
212643004	212643002,212913447,212643007
212643007	212643004,5772088215,212865602
212643282	212712205,212690273,212643285
212643285	212637232,212643282
212643304	212651720,212637232,212651724,212643310
212643310	212643311,212643304
212643311	212754850,212643310,212643314
212643314	212643317,212643311,212713423,5788142181
212643317	212728118,212643320,212643314
212643320	212668894,5787760751,212643317,212650649
212643326	5799846945,5787760751,212711163
212643328	212838282,212643330,5799846945
212643330	212646069,212643333,212643328
212643333	212930611,212643330,212907274,212643336
212643336	212882890,212643340,212643333
212643340	212749506,212749497,212643343,212643336
212643343	212907280,212631375,212643340
212643346	212685670,212643349,212631375
212643349	212685670,212643355,212685666,212643346
212643355	212912929,212643349,212643358
212643358	212912931,212643355,212643361
212643361	212751419,212751420,212643358,212643365
212643365	212643368,212913223,212913231,212643361
212643368	212643365,212643372,212863542
212643372	212643368,212643375
212643375	212643372,212643379
212643379	212691891,212643375,212643383
212643383	212643387,212756608,212643379
212643387	212643383,212643390
212643390	212643396,212968067,212643387
212643396	212643390,212643400,212906142
212643400	212643396,212936305,212643404
212643404	212670513,212643408,212643400
212643408	212643404,212643412,212691723
212643412	212643416,212643408,212915500
212643416	212643412,212643419,212670516
212643419	212643416,212643421,212838307
212643421	212643419,212643424,212670519
212643424	212643421,212641517,212843660
212643427	212641517,212643431,212695100
212643431	212643427,212626130,212633055,212731609
212643433	212643436,212633055,212696988
212643436	212643433,212643439,212696990
212643439	212643436,212643441,212696993
212643441	212643439,212643444,212694453
212643444	212643441,212642328,212697004
212643448	212642328,212643452,212697011
