213481574	213481597,213535033,213542751
213481597	213481574
213481967	213530712,213410959,213468202
213482023	213482049,213507449,213450430
213482049	213433351,213482023,213492840,213485629
213482071	213482074,213469579,213447758,837158246
213482074	213482071,213469584,213447782
213482128	213450430,213450709,213482371
213482163	213482174,213482829,213484956
213482174	213482163,213482333,213482185
213482185	213482174,213513769,213421003,213487370
213482333	213482174,213482840
213482371	213489231,213450430,213494904,213482128
213482829	213428252,213428257,213482163
213482840	213428252,213482333,213487526
213483452	5954567445,5099726229,213450117
213483536	5954567443,5954567447
213483664	3281285789,3281285752,213450117
213483688	3572200196,213483721,213437797
213483721	213483688,213450231
213484943	1319459475,213519449,213484956,213533315
213484956	213519467,213482163,213533315,213484943
213484982	213487509,213428257,213487526
213485036	213485070,213469227,213469268
213485070	213485036
213485629	213441396,213482049,213492795
213485895	213502539,213485925,213487471
213485925	213485895
213486982	213486991,213524377,213507645
213486991	213486982
213487362	213454697
213487370	213487471,213482185
213487471	213449576,213487370,213485895
213487509	213487526,213449576,213484982
213487526	213487509,213482840,213484982
213488101	213488137,213411373,213463060
213488137	213488101
213489024	213489027,213466723
213489027	213425165,213489024,213541837
213489030	213425147,213470593,213499952
213489160	213489231,213501166,213442477
213489231	213489310,213489160,213501166,213482371
213489310	213489231,213448264,213494904
213492795	213485629,213441381,213507455
213492840	213482049,213433310,213494904
213494552	213466723,213494562,213525619
213494562	213499952,213494552,213536014
213494726	213494740,213448302,213468801
213494740	213494745,213494726,213503264
213494745	213494774,213494740,213561146
213494774	213494780,213494745,213505023
213494780	213439418,213494774,213505023
213494904	213489310,213492840,213482371
213496166	213439699
213496564	213496669,213433805,213496578
213496578	213496609,213496669
213496609	213496631,213496578,213548952,213548868
213496631	213496609,213496631
213496669	213496564,213464049
213496822	213496843,213454725,213470593
213496843	213497073,213496822,213507407
213497073	213496843,213503353
213498711	213498728,213504472,213522581
213498728	213498711
213499952	213494562,213489030
213500138	213500138,213473403
213500416	213450068,213455191,213539753
213500818	213470747
213501039	213501043,213504487,213504472
213501043	213501039,213478648,213469268
213501166	213501169,213489160,213532069,213489231
213501169	213532069,213501171,213501166,213515670
213501171	213452409,213501169,213513071
213502231	213502266,213507473,213507091
213502266	213502272,213502231,213472558
213502272	213502275,213502266,213531723
213502275	213502272,213502294,213546776
213502294	213502275,213507498
213502458	213410402,213507120,213435964
213502539	213534540,213485895,213502550
213502550	213512136,213437593,213502539
213502604	213436285,213511823,213502613
213502613	213452983,213502604,213502621
213502621	213502613,213451321
213503260	213410421
213503264	213473820,213494740,213448154
213503353	213497073
213504453	213443682,213443687,213473403
213504472	213501039,213478679,213498711
213504487	213452229,213501039,213469227
